created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by
2024-06-21 09:46:29.124 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_PHONE_MATCHES(INSURED_PHONE_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2024-06-17 10:27:04.489 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_SUBMISSION_QUOTE_POLICY_CLAIM_SUMMARY(INSURED_PRIMARY_UID_INPUT VARCHAR):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_PRIMARY_NAME VARCHAR, SUBMISSION_NUMBER VARCHAR, SUBMISSION_ADDED_DATE VARCHAR, SUBMISSION_PROPOSED_EFFECTIVE_DATE VARCHAR, SUBMISSION_PROPOSED_EXPIRATION_DATE VARCHAR, SUBMISSION_INTERNAL_STATUS VARCHAR, SUBMISSION_STATUS_CODE VARCHAR, SUBMISSION_PROGRAM_CODE VARCHAR, SUBMISSION_SOURCE VARCHAR, BROKER_CONTACT_NAME VARCHAR, QUOTE_STATUS VARCHAR, QUOTE_PREMIUM NUMBER, TOTAL_PREMIUM_AND_FEES NUMBER, POLICY_NUMBER VARCHAR, POLICY_LINE_OF_BUSINESS VARCHAR, POLICY_PROGRAM_CODE VARCHAR, POLICY_EFFECTIVE_DATE VARCHAR, POLICY_EXPIRATION_DATE VARCHAR, POLICY_STATUS_CODE VARCHAR, UNDERWRITER_NAME VARCHAR, CLAIM_NUMBER VARCHAR, CLAIM_RECEIVED_DATE VARCHAR, CLAIM_CLOSE_DATE VARCHAR)""",ROLE,SYSADMIN,true,SYSADMIN
2024-06-21 09:46:59.172 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_TAX_ID_MATCHES(INSURED_TAX_ID_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2025-06-09 11:57:39.296 -0700,OWNERSHIP,FUNCTION,"DEV_UPLAND_SILVER_DB.CALCULATION.""GET_POLICY_MATCHES(search_term_input VARCHAR):TABLE: (SEARCH_TERM VARCHAR, POLICY_STATUS VARCHAR, POLICY_NUMBER VARCHAR, POLICY_UID VARCHAR, POLICY_EFFECTIVE_DATE VARCHAR, POLICY_EXPIRATION_DATE VARCHAR, LOB VARCHAR, POLICY_US_STATE VARCHAR, INSURED_PRIMARY_UID VARCHAR, INSURED_PRIMARY_NAME VARCHAR, INSURED_PRIMARY_EMAIL_ADDRESS VARCHAR, INSURED_PRIMARY_ADDRESS_1 VARCHAR, INSURED_PRIMARY_ADDRESS_2 VARCHAR, INSURED_PRIMARY_ZIP VARCHAR, INSURED_PRIMARY_CITY VARCHAR, INSURED_PRIMARY_STATE VARCHAR, INSURED_PRIMARY_BUSINESS_PHONE VARCHAR, INSURED_PRIMARY_BUSINESS_TYPE VARCHAR, LIMIT_PER_PERSON NUMBER, LIMIT_PER_INCIDENT NUMBER, BROKER_NAME VARCHAR, BROKER_EMAIL_ADDRESS VARCHAR, BROKER_PHONE VARCHAR, DEDUCTIBLE_BASIS VARCHAR, DEDUCTIBLE_TYPE VARCHAR, DEDUCTIBLE_AMOUNT NUMBER, ATTACHMENT_POINT NUMBER, SUB_ORGANIZATION_EXTERNAL_ID VARCHAR, IS_REINSURANCE VARCHAR, REINSURANCE_TYPE VARCHAR)""",ROLE,SYSADMIN,true,SYSADMIN
2023-12-15 10:36:16.187 -0800,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_ADDRESS_MATCHES(INSURED_ADDRESS_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2023-12-15 10:36:34.879 -0800,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_ALTERNATE_NAME_MATCHES(INSURED_ALTERNATE_NAME_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2024-05-17 10:44:15.135 -0700,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_NAME_MATCHES(INSURED_NAME_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2023-12-15 10:36:52.756 -0800,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_PHONE_MATCHES(INSURED_PHONE_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
2023-12-15 10:37:09.268 -0800,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_SUBMISSION_QUOTE_POLICY_CLAIM_SUMMARY(INSURED_PRIMARY_UID_INPUT VARCHAR):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_PRIMARY_NAME VARCHAR, SUBMISSION_NUMBER VARCHAR, SUBMISSION_ADDED_DATE VARCHAR, SUBMISSION_PROPOSED_EFFECTIVE_DATE VARCHAR, SUBMISSION_PROPOSED_EXPIRATION_DATE VARCHAR, SUBMISSION_INTERNAL_STATUS VARCHAR, SUBMISSION_STATUS_CODE VARCHAR, SUBMISSION_PROGRAM_CODE VARCHAR, SUBMISSION_SOURCE VARCHAR, BROKER_CONTACT_NAME VARCHAR, QUOTE_STATUS VARCHAR, QUOTE_PREMIUM NUMBER, TOTAL_PREMIUM_AND_FEES NUMBER, POLICY_NUMBER VARCHAR, POLICY_LINE_OF_BUSINESS VARCHAR, POLICY_PROGRAM_CODE VARCHAR, POLICY_EFFECTIVE_DATE VARCHAR, POLICY_EXPIRATION_DATE VARCHAR, POLICY_STATUS_CODE VARCHAR, UNDERWRITER_NAME VARCHAR, CLAIM_NUMBER VARCHAR, CLAIM_RECEIVED_DATE VARCHAR, CLAIM_CLOSE_DATE VARCHAR)""",ROLE,SYSADMIN,true,SYSADMIN
2023-12-15 10:37:23.366 -0800,OWNERSHIP,FUNCTION,"PROD_UPLAND_SILVER_DB.CALCULATION.""GET_INSURED_TAX_ID_MATCHES(INSURED_TAX_ID_INPUT VARCHAR, MATCH_INDEX_INPUT NUMBER):TABLE: (INSURED_PRIMARY_UID VARCHAR, INSURED_NAME VARCHAR, INSURED_ADDRESS_1 VARCHAR, INSURED_CITY VARCHAR, INSURED_STATE VARCHAR, INSURED_ZIP VARCHAR, TAX_ID VARCHAR, DOT_NUMBER VARCHAR, INSURED_PHONE VARCHAR, INSURED_ALTERNATE_NAME_CODE VARCHAR, INSURED_ALTERNATE_NAME VARCHAR, MATCH_VALUE NUMBER)""",ROLE,SYSADMIN,true,SYSADMIN
